ID	P.Value	logFC	Gene.symbol	Gene.title
1449561_at	6.35e-01	1.81e-01	Nkapl	NFKB activating protein-like
1423309_at	6.35e-01	3.45e-02	Tgoln2///Tgoln1	trans-golgi network protein 2///trans-golgi network protein
1458807_at	6.35e-01	6.88e-02	Epb41	erythrocyte membrane protein band 4.1
1419540_at	6.35e-01	4.10e-01	Fthl17d///Fthl17-ps1///Fthl17c///Fthl17b///Fthl17e	ferritin, heavy polypeptide-like 17, member D///ferritin, heavy polypeptide-like 17, pseudogene 1///ferritin, heavy polypeptide-like 17, member C///ferritin, heavy polypeptide-like 17, member B///ferritin, heavy polypeptide-like 17, member E
1439800_at	6.35e-01	-5.84e-02	Clip1	CAP-GLY domain containing linker protein 1
1445653_at	6.35e-01	1.45e-01	BC031361	cDNA sequence BC031361
1419404_s_at	6.35e-01	3.98e-02	Siah1b///Siah1a	seven in absentia 1B///seven in absentia 1A
1436404_at	6.35e-01	5.82e-02	Tlcd1	TLC domain containing 1
1438866_at	6.35e-01	-1.97e-01	Grin3a	glutamate receptor ionotropic, NMDA3A
1431639_at	6.35e-01	-3.47e-01	Cldn34d	claudin 34D
1438269_at	6.36e-01	-4.15e-02	Zbtb38	zinc finger and BTB domain containing 38
1427667_s_at	6.36e-01	3.17e-01	Tcrb-J	T cell receptor beta, joining region
1459925_at	6.36e-01	-1.46e-01	C78282	expressed sequence C78282
1440159_at	6.36e-01	-1.08e-01	1700010B09Rik	RIKEN cDNA 1700010B09 gene
1448011_at	6.36e-01	1.13e-01	Vps13c	vacuolar protein sorting 13C
1431558_at	6.36e-01	-4.33e-01	2310016D03Rik	RIKEN cDNA 2310016D03 gene
1454497_at	6.36e-01	3.82e-01	5230401M06Rik	RIKEN cDNA 5230401M06 gene
1453914_at	6.36e-01	-2.55e-01	Gm9817	predicted gene 9817
1450271_at	6.36e-01	2.76e-01	Ptk6	PTK6 protein tyrosine kinase 6
1444659_at	6.36e-01	-5.31e-02		
1433783_at	6.36e-01	-2.31e-01	Ldb3	LIM domain binding 3
1451704_at	6.36e-01	-1.13e-01	Scgb2b7///Scgb2b20	secretoglobin, family 2B, member 7///secretoglobin, family 2B, member 20
1440476_at	6.36e-01	-2.36e-01	D6Ertd474e	DNA segment, Chr 6, ERATO Doi 474, expressed
1440614_at	6.36e-01	-9.42e-02	Arhgap23	Rho GTPase activating protein 23
1434862_at	6.36e-01	-2.77e-01	Fut2	fucosyltransferase 2
1455476_a_at	6.36e-01	-4.61e-02	Gse1	genetic suppressor element 1, coiled-coil protein
1444813_at	6.36e-01	-1.43e-01		
1431382_a_at	6.36e-01	-2.02e-01	Clip4	CAP-GLY domain containing linker protein family, member 4
1420541_at	6.36e-01	3.12e-01	Rdh16	retinol dehydrogenase 16
1451869_at	6.36e-01	-1.89e-01	Abca3	ATP-binding cassette, sub-family A (ABC1), member 3
1449190_a_at	6.36e-01	-5.71e-02	Gm21685///Entpd4	predicted gene, 21685///ectonucleoside triphosphate diphosphohydrolase 4
1436196_at	6.36e-01	3.69e-02	C030046G05	uncharacterized protein C030046G05
1451928_a_at	6.36e-01	-7.36e-02	Rad18	RAD18 E3 ubiquitin protein ligase
1460416_s_at	6.36e-01	1.99e-01	LOC101055758///LOC100503923///Gm15433///LOC100041903///Gm2666///Gm7609///Csprs	component of Sp100-rs-like///proteinase-activated receptor 1-like///predicted pseudogene 15433///proteinase-activated receptor 1-like///predicted gene 2666///predicted pseudogene 7609///component of Sp100-rs
1457086_at	6.36e-01	3.83e-01	D930028M14Rik	RIKEN cDNA D930028M14 gene
1454875_a_at	6.36e-01	-3.91e-02	Rbbp4	retinoblastoma binding protein 4
1422863_s_at	6.36e-01	5.51e-02	Pdlim5	PDZ and LIM domain 5
1438566_at	6.36e-01	-3.42e-01	St8sia6	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6
1452737_at	6.36e-01	-2.90e-02	Smim15	small integral membrane protein 15
1424749_at	6.36e-01	-4.09e-02	Wdfy1	WD repeat and FYVE domain containing 1
1427149_at	6.37e-01	-5.19e-01	Plekha6	pleckstrin homology domain containing, family A member 6
1449919_at	6.37e-01	1.97e-01	Krtap6-2	keratin associated protein 6-2
1456304_at	6.37e-01	2.58e-01	Gm996	predicted gene 996
1437816_at	6.37e-01	1.37e-01	Pax6	paired box 6
1429040_at	6.37e-01	-6.74e-02	6820431F20Rik	cadherin 11 pseudogene
1438486_at	6.37e-01	-4.62e-01	Tssk4	testis-specific serine kinase 4
1425716_s_at	6.37e-01	-9.01e-02	Bak1	BCL2-antagonist/killer 1
1419209_at	6.37e-01	-2.47e-01	Cxcl1	chemokine (C-X-C motif) ligand 1
1437397_at	6.37e-01	-1.52e-01	Prlr	prolactin receptor
1457959_at	6.37e-01	5.06e-01	Sycp2l	synaptonemal complex protein 2-like
1455145_at	6.37e-01	-3.41e-01	Pcdh19	protocadherin 19
1419045_at	6.37e-01	4.50e-02	Slc25a23	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23
1432531_at	6.37e-01	3.65e-01	9230104L09Rik	RIKEN cDNA 9230104L09 gene
1436521_at	6.37e-01	-3.79e-01	Slc36a2	solute carrier family 36 (proton/amino acid symporter), member 2
1430925_at	6.37e-01	-4.62e-01	4930556L07Rik	RIKEN cDNA 4930556L07 gene
1455585_at	6.37e-01	3.82e-02	Rnf168	ring finger protein 168
1429296_at	6.37e-01	-4.71e-02	Rab10	RAB10, member RAS oncogene family
1427626_at	6.37e-01	-2.84e-01	Muc5b	mucin 5, subtype B, tracheobronchial
1449418_s_at	6.37e-01	5.21e-02	Fbxo36	F-box protein 36
1439357_at	6.37e-01	-2.03e-01	Il17re	interleukin 17 receptor E
1418379_s_at	6.37e-01	4.65e-01	Adgra2	adhesion G protein-coupled receptor A2
1435875_at	6.37e-01	6.96e-02	Prkab2	protein kinase, AMP-activated, beta 2 non-catalytic subunit
1432623_at	6.37e-01	-1.33e-01	Supv3l1	suppressor of var1, 3-like 1 (S. cerevisiae)
1438986_x_at	6.37e-01	2.36e-02	Rps17	ribosomal protein S17
1439164_at	6.37e-01	3.03e-01		
1439716_at	6.37e-01	4.32e-01	Piwil4	piwi-like RNA-mediated gene silencing 4
1423014_at	6.37e-01	-3.50e-01	Pcdhb6	protocadherin beta 6
1437160_at	6.37e-01	-1.74e-01	Nlgn1	neuroligin 1
1440546_at	6.37e-01	1.52e-01	9630002D21Rik	RIKEN cDNA 9630002D21 gene
1418348_a_at	6.37e-01	-6.21e-02	Ascc2	activating signal cointegrator 1 complex subunit 2
1438489_at	6.37e-01	5.15e-02		
1418089_at	6.37e-01	3.58e-02	Stx8	syntaxin 8
1431765_a_at	6.37e-01	-3.26e-02	Gm8842///Gm8841///Gm10420///Gm6139///Rps2	predicted gene 8842///predicted gene 8841///predicted gene 10420///predicted gene 6139///ribosomal protein S2
1425045_at	6.37e-01	-6.82e-02	Gm28042///Jmjd7	predicted gene, 28042///jumonji domain containing 7
1451896_a_at	6.37e-01	5.60e-02	Cherp	calcium homeostasis endoplasmic reticulum protein
1423173_at	6.37e-01	-1.36e-01	Napb	N-ethylmaleimide sensitive fusion protein attachment protein beta
1450600_at	6.38e-01	-3.60e-01	Olfr1508	olfactory receptor 1508
1416716_at	6.38e-01	-4.19e-01	Efs	embryonal Fyn-associated substrate
1419952_at	6.38e-01	4.94e-02	LOC102640359	uncharacterized LOC102640359
1456568_at	6.38e-01	3.12e-01	Gsn	gelsolin
1430867_at	6.38e-01	-3.86e-01	4933431M02Rik	RIKEN cDNA 4933431M02 gene
1422037_at	6.38e-01	2.84e-01	Dlx3	distal-less homeobox 3
1451057_x_at	6.38e-01	6.17e-02	Dnm2	dynamin 2
1430712_at	6.38e-01	1.16e-01	Arhgap24	Rho GTPase activating protein 24
1429498_at	6.38e-01	1.04e-01		
1445140_at	6.38e-01	-3.24e-01	AU022804	expressed sequence AU022804
1430346_at	6.38e-01	2.97e-01	Fam189a1	family with sequence similarity 189, member A1
1417053_at	6.38e-01	3.85e-02	1700071K01Rik///Phb	RIKEN cDNA 1700071K01 gene///prohibitin
1450448_at	6.38e-01	2.38e-01	Stc1	stanniocalcin 1
1454490_at	6.38e-01	4.02e-01	4930423C22Rik	RIKEN cDNA 4930423C22 gene
1455971_at	6.38e-01	-2.28e-01	Serp2	stress-associated endoplasmic reticulum protein family member 2
1443716_at	6.38e-01	-3.10e-01	Gm2102	predicted gene 2102
1443913_at	6.38e-01	1.77e-01		
1422504_at	6.38e-01	4.28e-01	Glrb	glycine receptor, beta subunit
1453592_at	6.38e-01	2.27e-01	Lrrc39	leucine rich repeat containing 39
1438970_x_at	6.38e-01	9.76e-02	Clhc1	clathrin heavy chain linker domain containing 1
1426738_at	6.38e-01	-5.33e-02	Dgkz	diacylglycerol kinase zeta
1415906_at	6.38e-01	2.50e-02	Tmsb4x	thymosin, beta 4, X chromosome
1428110_x_at	6.38e-01	-6.34e-02	Vps11	VPS11, CORVET/HOPS core subunit
1417917_at	6.38e-01	-3.32e-01	Cnn1	calponin 1
1440915_at	6.38e-01	-6.48e-02	Mphosph9	M-phase phosphoprotein 9
1421577_at	6.38e-01	1.19e-01	Evx2	even-skipped homeobox 2
1419229_at	6.38e-01	2.12e-01	Rhox4a2///Rhox4d///Rhox4a///Rhox4g///Rhox4f///Rhox4c///Rhox4e///Rhox4b	reproductive homeobox 4A2///reproductive homeobox 4D///reproductive homeobox 4A///reproductive homeobox 4G///reproductive homeobox 4F///reproductive homeobox 4C///reproductive homeobox 4E///reproductive homeobox 4B
1423101_at	6.38e-01	-8.55e-02	Paqr4	progestin and adipoQ receptor family member IV
1450090_at	6.38e-01	5.08e-02	Zfp101	zinc finger protein 101
1457886_at	6.38e-01	-1.32e-01	LOC552873	uncharacterized LOC552873
1426438_at	6.38e-01	3.99e-02	Ddx3y	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked
1446117_at	6.38e-01	-8.14e-02	Spire1	spire homolog 1 (Drosophila)
1417924_at	6.38e-01	1.51e-01	Pak3	p21 protein (Cdc42/Rac)-activated kinase 3
1433752_s_at	6.38e-01	-3.77e-02	Trappc11	trafficking protein particle complex 11
1419158_a_at	6.38e-01	-2.95e-02	Hars2	histidyl-tRNA synthetase 2
1457771_at	6.39e-01	-3.31e-01		
1436144_at	6.39e-01	1.15e-01	Rpl31-ps12///Rpl31	ribosomal protein L31, pseudogene 1 2///ribosomal protein L31
1435871_at	6.39e-01	-1.52e-01	Elavl3	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 3 (Hu antigen C)
1451836_at	6.39e-01	1.24e-01	Tmem150b	transmembrane protein 150B
1436920_at	6.39e-01	-2.85e-01	Pcdh17	protocadherin 17
1424673_at	6.39e-01	-4.66e-01	Clec2h	C-type lectin domain family 2, member h
1418221_at	6.39e-01	-3.80e-01	Csn1s2b	casein alpha s2-like B
1447729_s_at	6.39e-01	3.54e-01	Prss44	protease, serine 44
1457796_at	6.39e-01	5.25e-02		
1418663_at	6.39e-01	1.42e-01	Mpdz	multiple PDZ domain protein
1426634_at	6.39e-01	3.27e-01	Slc5a9	solute carrier family 5 (sodium/glucose cotransporter), member 9
1424091_at	6.39e-01	-5.76e-02	Zfp868	zinc finger protein 868
1459706_at	6.39e-01	1.26e-01		
1443346_at	6.39e-01	-5.07e-02		
1459366_at	6.39e-01	-2.76e-01	Rgmb	repulsive guidance molecule family member B
1452648_at	6.39e-01	-3.00e-02	Tbrg1	transforming growth factor beta regulated gene 1
1437913_at	6.39e-01	-1.37e-01	Bcl2a1d///Bcl2a1b///Bcl2a1a	B cell leukemia/lymphoma 2 related protein A1d///B cell leukemia/lymphoma 2 related protein A1b///B cell leukemia/lymphoma 2 related protein A1a
1418328_at	6.39e-01	8.67e-02	Gm44502///Cpt1b///Chkb	predicted readthrough transcript (NMD candidate), 44502///carnitine palmitoyltransferase 1b, muscle///choline kinase beta
1456690_at	6.39e-01	-4.80e-01	Usp44	ubiquitin specific peptidase 44
1426718_at	6.39e-01	-2.69e-02	Skiv2l2	superkiller viralicidic activity 2-like 2 (S. cerevisiae)
1436664_a_at	6.39e-01	4.79e-02	Slc35a2	solute carrier family 35 (UDP-galactose transporter), member A2
1445374_at	6.39e-01	-6.62e-02		
1456362_at	6.39e-01	-1.66e-01	Cyp11b1	cytochrome P450, family 11, subfamily b, polypeptide 1
1423361_at	6.39e-01	4.50e-02	Yme1l1	YME1-like 1 (S. cerevisiae)
1448783_at	6.39e-01	1.57e-01	Slc7a9	solute carrier family 7 (cationic amino acid transporter, y+ system), member 9
1437136_at	6.39e-01	8.28e-02		
1416943_at	6.39e-01	2.93e-02	Ube2e1	ubiquitin-conjugating enzyme E2E 1
1439807_at	6.39e-01	-3.33e-01	Tmem74	transmembrane protein 74
1451531_at	6.39e-01	4.91e-02	Cbwd1	COBW domain containing 1
1434468_at	6.39e-01	3.32e-02	Otud4	OTU domain containing 4
1432599_at	6.40e-01	-2.39e-01	2610301H18Rik	RIKEN cDNA 2610301H18 gene
1447067_at	6.40e-01	3.06e-01		
1425521_at	6.40e-01	-8.19e-02	Paip1	polyadenylate binding protein-interacting protein 1
1416854_at	6.40e-01	-3.70e-01	Slc34a2	solute carrier family 34 (sodium phosphate), member 2
1419303_at	6.40e-01	3.70e-01	Heyl	hairy/enhancer-of-split related with YRPW motif-like
1441819_x_at	6.40e-01	-5.04e-01	Timm50	translocase of inner mitochondrial membrane 50
1446106_at	6.40e-01	5.53e-01	Arl11	ADP-ribosylation factor-like 11
1444105_at	6.40e-01	2.45e-01	Acta2	actin, alpha 2, smooth muscle, aorta
1454974_at	6.40e-01	-2.66e-01	Ntn1	netrin 1
1447741_x_at	6.40e-01	2.11e-01	Acad10	acyl-Coenzyme A dehydrogenase family, member 10
1417988_at	6.40e-01	-2.94e-01	Resp18	regulated endocrine-specific protein 18
1435826_at	6.40e-01	8.33e-02	Rad18	RAD18 E3 ubiquitin protein ligase
1430838_x_at	6.40e-01	1.04e-01	Mbd1	methyl-CpG binding domain protein 1
1453641_at	6.40e-01	3.64e-01	Bcas1	breast carcinoma amplified sequence 1
1439280_at	6.40e-01	-3.26e-01	LOC102634887///Gm13112	uncharacterized LOC102634887///predicted gene 13112
1416804_at	6.40e-01	3.79e-02	Ehbp1l1	EH domain binding protein 1-like 1
1417249_at	6.40e-01	-8.88e-02	Polm	polymerase (DNA directed), mu
1454515_at	6.40e-01	5.06e-01	5430425E15Rik	RIKEN cDNA 5430425E15 gene
1448048_at	6.40e-01	-7.85e-02	Nmrk1	nicotinamide riboside kinase 1
1460414_at	6.40e-01	2.03e-01	Obsl1	obscurin-like 1
1447069_at	6.40e-01	-3.23e-01		
1458984_at	6.40e-01	-5.55e-02		
1452049_at	6.40e-01	-2.63e-02	Rpl7l1	ribosomal protein L7-like 1
1450665_at	6.40e-01	-4.02e-02	Gabpa	GA repeat binding protein, alpha
1443989_at	6.40e-01	-1.71e-01	Trim9	tripartite motif-containing 9
1458776_at	6.40e-01	-1.02e-01		
1419627_s_at	6.40e-01	9.10e-02	Clec4n	C-type lectin domain family 4, member n
1433624_at	6.40e-01	3.33e-02	Prrc2b	proline-rich coiled-coil 2B
1429211_at	6.40e-01	5.21e-01	Cadm2	cell adhesion molecule 2
1447066_at	6.41e-01	-1.58e-01	Gm3740	predicted gene 3740
1458615_at	6.41e-01	7.07e-02	Depdc5	DEP domain containing 5
1430988_at	6.41e-01	4.79e-01	Selt	selenoprotein T
1445606_a_at	6.41e-01	1.90e-01	2900009J06Rik	RIKEN cDNA 2900009J06 gene
1423621_a_at	6.41e-01	-4.19e-02	Slc33a1	solute carrier family 33 (acetyl-CoA transporter), member 1
1434548_at	6.41e-01	2.91e-02	Serinc3	serine incorporator 3
1422984_at	6.41e-01	4.74e-02	Clip2	CAP-GLY domain containing linker protein 2
1451428_x_at	6.41e-01	9.72e-02	Egfl7	EGF-like domain 7
1426970_a_at	6.41e-01	-3.95e-02	Uba7	ubiquitin-like modifier activating enzyme 7
1443462_at	6.41e-01	-4.04e-01	D8Ertd572e	DNA segment, Chr 8, ERATO Doi 572, expressed
1459841_x_at	6.41e-01	2.34e-01	Laptm5	lysosomal-associated protein transmembrane 5
1424703_at	6.41e-01	-4.90e-02	Hemk1	HemK methyltransferase family member 1
1431094_at	6.41e-01	-1.74e-01	1110006E14Rik	RIKEN cDNA 1110006E14 gene
1421675_at	6.41e-01	1.29e-01	1700123K08Rik	RIKEN cDNA 1700123K08 gene
1441860_x_at	6.41e-01	7.42e-02	Ide	insulin degrading enzyme
1453092_at	6.41e-01	3.23e-01	Crct1	cysteine-rich C-terminal 1
1421580_at	6.41e-01	3.16e-01	Cntnap1	contactin associated protein-like 1
1427816_at	6.41e-01	-9.20e-02	Srsf2	serine/arginine-rich splicing factor 2
1427309_at	6.41e-01	-8.08e-02	Pars2	prolyl-tRNA synthetase (mitochondrial)(putative)
1434686_at	6.41e-01	-3.53e-02	Supt20	suppressor of Ty 20
1419592_at	6.41e-01	-3.56e-01	Unc5c	unc-5 netrin receptor C
1450269_a_at	6.41e-01	1.22e-01	Pfkl	phosphofructokinase, liver, B-type
1444161_at	6.41e-01	-5.07e-01	A530020G20Rik	RIKEN cDNA A530020G20 gene
1454559_at	6.41e-01	2.43e-01	Sh3bgr	SH3-binding domain glutamic acid-rich protein
1442719_at	6.41e-01	-6.72e-02	Prmt3	protein arginine N-methyltransferase 3
1418510_s_at	6.41e-01	2.84e-02	Fbxo8	F-box protein 8
1441601_at	6.41e-01	2.21e-01		
1447196_at	6.41e-01	-4.11e-01	Gm9789	predicted gene 9789
1422129_at	6.41e-01	-1.02e-01	Apc2	adenomatosis polyposis coli 2
1425813_at	6.41e-01	-3.99e-01	Pign	phosphatidylinositol glycan anchor biosynthesis, class N
1433714_at	6.41e-01	-3.42e-01	Sult4a1	sulfotransferase family 4A, member 1
1439713_at	6.41e-01	-1.54e-01	Itga1	integrin alpha 1
1458191_at	6.41e-01	-2.16e-01	Foxp2	forkhead box P2
1458965_at	6.41e-01	-1.49e-01		
1417990_at	6.41e-01	-3.82e-01	Ppp1r14d	protein phosphatase 1, regulatory (inhibitor) subunit 14D
1420694_a_at	6.42e-01	2.53e-01	Dach1	dachshund 1 (Drosophila)
1459013_at	6.42e-01	-3.69e-01		
1432241_at	6.42e-01	1.65e-01	9030205G03Rik	RIKEN cDNA 9030205G03 gene
1431073_at	6.42e-01	6.42e-02	Ptar1	protein prenyltransferase alpha subunit repeat containing 1
1458856_at	6.42e-01	-1.11e-01		
1420284_at	6.42e-01	-4.29e-01	Gpank1	G patch domain and ankyrin repeats 1
1460240_a_at	6.42e-01	-3.15e-02	Hnrnpc	heterogeneous nuclear ribonucleoprotein C
1445742_at	6.42e-01	1.27e-01		
1427987_at	6.42e-01	5.32e-02	Safb2	scaffold attachment factor B2
1456057_x_at	6.42e-01	7.47e-02	Tmem109	transmembrane protein 109
1423975_s_at	6.42e-01	-3.15e-02	Numa1	nuclear mitotic apparatus protein 1
1427820_at	6.42e-01	9.84e-02		
1424080_at	6.42e-01	3.50e-02	Dcps	decapping enzyme, scavenger
1456731_x_at	6.42e-01	-9.44e-02	Polr3k	polymerase (RNA) III (DNA directed) polypeptide K
1458799_at	6.42e-01	1.99e-01	A330033J07Rik	RIKEN cDNA A330033J07 gene
1436994_a_at	6.42e-01	6.68e-02	Hist1h1c	histone cluster 1, H1c
1455353_at	6.42e-01	3.87e-02	Tmcc1	transmembrane and coiled coil domains 1
1434102_at	6.42e-01	-1.68e-01	Nfib	nuclear factor I/B
1428560_at	6.42e-01	-5.49e-02	Xpo5	exportin 5
1450281_a_at	6.42e-01	-1.88e-01	Tbata	thymus, brain and testes associated
1432415_at	6.42e-01	-3.61e-01	Rab3c	RAB3C, member RAS oncogene family
1420213_x_at	6.42e-01	-5.42e-01	Gm36243	predicted gene, 36243
1433300_at	6.42e-01	-3.03e-01	2900005I04Rik	RIKEN cDNA 2900005I04 gene
1437647_at	6.42e-01	-3.88e-02	Dido1	death inducer-obliterator 1
1459172_at	6.42e-01	2.91e-01		
1416301_a_at	6.42e-01	-2.59e-01	Ebf1	early B cell factor 1
1454115_at	6.43e-01	5.15e-01	4930572J10Rik	RIKEN cDNA 4930572J10 gene
1455948_x_at	6.43e-01	-4.72e-01	Matn3	matrilin 3
1421530_a_at	6.43e-01	1.35e-01	Grm8	glutamate receptor, metabotropic 8
1420040_at	6.43e-01	5.27e-02	Fam73b	family with sequence similarity 73, member B
1434760_at	6.43e-01	1.23e-01	Lrrtm3	leucine rich repeat transmembrane neuronal 3
1432228_at	6.43e-01	-1.74e-01	4933406B15Rik	RIKEN cDNA 4933406B15 gene
1451056_at	6.43e-01	4.33e-02	Psmd7	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7
1457976_at	6.43e-01	-1.05e-01	Ifit1bl2	interferon induced protein with tetratricopeptide repeats 1B like 2
1434778_at	6.43e-01	3.95e-02	Wapl	WAPL cohesin release factor
1434165_at	6.43e-01	-3.98e-01	Clic6	chloride intracellular channel 6
1458095_at	6.43e-01	1.75e-01		
1434151_at	6.43e-01	-3.08e-02	Mettl7a1	methyltransferase like 7A1
1438188_x_at	6.43e-01	-1.96e-01	Slc25a29	solute carrier family 25 (mitochondrial carrier, palmitoylcarnitine transporter), member 29
1446413_at	6.43e-01	1.89e-01	4930555G07Rik	RIKEN cDNA 4930555G07 gene
1444166_at	6.43e-01	-3.15e-01	Thrsp	thyroid hormone responsive
1460140_at	6.43e-01	-3.32e-01		
1426616_at	6.43e-01	-7.58e-02	Tlcd1	TLC domain containing 1
1451031_at	6.43e-01	3.24e-01	Sfrp4	secreted frizzled-related protein 4
1457792_at	6.43e-01	-1.33e-01		
1456965_at	6.43e-01	1.12e-01	Kcnc1	potassium voltage gated channel, Shaw-related subfamily, member 1
1460533_at	6.43e-01	5.79e-01	4933440K10Rik	RIKEN cDNA 4933440K10 gene
1431687_at	6.43e-01	-3.49e-01	Gmfb	glia maturation factor, beta
1426904_s_at	6.43e-01	-2.72e-02	Dnajc10	DnaJ heat shock protein family (Hsp40) member C10
1450446_a_at	6.43e-01	-7.16e-02	Socs1	suppressor of cytokine signaling 1
1427642_at	6.43e-01	-2.09e-01	Trpm6	transient receptor potential cation channel, subfamily M, member 6
1447453_x_at	6.43e-01	-4.98e-01		
1427525_at	6.44e-01	1.03e-01	Cd151	CD151 antigen
1427852_x_at	6.44e-01	-4.41e-01	Igh-VJ558	immunoglobulin heavy chain (J558 family)
1427396_a_at	6.44e-01	3.20e-02	Csde1	cold shock domain containing E1, RNA binding
1425792_a_at	6.44e-01	1.65e-01	Rorc	RAR-related orphan receptor gamma
1432989_at	6.44e-01	2.72e-01	2900011F02Rik	RIKEN cDNA 2900011F02 gene
1442499_at	6.44e-01	8.82e-02	Cdv3	carnitine deficiency-associated gene expressed in ventricle 3
1444031_at	6.44e-01	2.47e-01	Camk2d	calcium/calmodulin-dependent protein kinase II, delta
1431048_at	6.44e-01	2.56e-01	Styx	serine/threonine/tyrosine interaction protein
1420156_at	6.44e-01	4.25e-01	AA408954	expressed sequence AA408954
1445351_at	6.44e-01	7.14e-02		
1460283_at	6.44e-01	1.38e-01	Mefv	Mediterranean fever
1445808_at	6.44e-01	-1.03e-01		
1436032_at	6.44e-01	-6.72e-02		
1417657_s_at	6.44e-01	3.02e-02	Dnajc2	DnaJ heat shock protein family (Hsp40) member C2
1451686_x_at	6.44e-01	1.16e-01	Amelx	amelogenin, X-linked
1447443_at	6.44e-01	2.79e-01		
1429401_at	6.44e-01	-2.38e-01	Stox2	storkhead box 2
1450014_at	6.44e-01	-3.26e-01	Cldn1	claudin 1
1443895_at	6.44e-01	-1.60e-01	Gm6225	predicted gene 6225
1453888_at	6.44e-01	4.23e-01	Cpne4	copine IV
1419036_at	6.44e-01	3.71e-02	Csnk2a1	casein kinase 2, alpha 1 polypeptide
1448052_at	6.44e-01	1.09e-01	Cgnl1	cingulin-like 1
1439411_a_at	6.44e-01	2.96e-02	Xpo7	exportin 7
1435305_at	6.44e-01	3.71e-01	Ntrk2	neurotrophic tyrosine kinase, receptor, type 2
1444221_at	6.44e-01	-2.40e-01	Tbc1d12	TBC1D12: TBC1 domain family, member 12
1434700_at	6.45e-01	1.02e-01	G2e3	G2/M-phase specific E3 ubiquitin ligase
1454985_at	6.45e-01	4.61e-02	Ambra1	autophagy/beclin 1 regulator 1
1422028_a_at	6.45e-01	-1.51e-01	Ets1	E26 avian leukemia oncogene 1, 5' domain
1445947_at	6.45e-01	-6.75e-02		
1420943_at	6.45e-01	3.39e-01	Zfp185	zinc finger protein 185
1442989_at	6.45e-01	-1.10e-01		
1455781_at	6.45e-01	4.19e-02	Gtpbp8	GTP-binding protein 8 (putative)
1446250_at	6.45e-01	1.44e-01		
1433086_at	6.45e-01	-2.05e-01	5930427J20Rik	RIKEN cDNA 5930427J20 gene
1444352_at	6.45e-01	-1.74e-01	Zfp287	zinc finger protein 287
1445446_at	6.45e-01	4.37e-01		
1429807_at	6.45e-01	1.68e-01	Izumo3	IZUMO family member 3
1433351_at	6.45e-01	-9.01e-02	4933412L11Rik	RIKEN cDNA 4933412L11 gene
1429518_at	6.45e-01	2.02e-01	Faim2	Fas apoptotic inhibitory molecule 2
1434115_at	6.45e-01	4.47e-01	Cdh13	cadherin 13
1421792_s_at	6.45e-01	-2.38e-01	Trem2	triggering receptor expressed on myeloid cells 2
1450106_a_at	6.45e-01	3.18e-01	Evl	Ena-vasodilator stimulated phosphoprotein
1420845_at	6.45e-01	5.35e-02	Mrps2	mitochondrial ribosomal protein S2
1435760_at	6.45e-01	1.83e-01	Csta1	cystatin A1
1421549_at	6.45e-01	3.68e-01	Pcdhb15	protocadherin beta 15
1422956_at	6.45e-01	-3.33e-01	D1Pas1	DNA segment, Chr 1, Pasteur Institute 1
1425605_a_at	6.45e-01	1.70e-01	Lmbr1	limb region 1
1429644_at	6.45e-01	3.19e-01	1700011I03Rik	RIKEN cDNA 1700011I03 gene
1436639_at	6.46e-01	-6.64e-02	Bola2	bolA-like 2 (E. coli)
1441530_at	6.46e-01	-2.89e-01		
1426945_at	6.46e-01	-5.03e-02	Ipo5	importin 5
1445975_at	6.46e-01	-2.96e-01	Gm8709	glyceraldehyde-3-phosphate dehydrogenase pseudogene
1437400_at	6.46e-01	5.89e-02	Nedd4l	neural precursor cell expressed, developmentally down-regulated gene 4-like
1440372_at	6.46e-01	5.87e-02		
1460041_at	6.46e-01	2.23e-01	Flrt1	fibronectin leucine rich transmembrane protein 1
1453679_at	6.46e-01	1.11e-01	1700100I10Rik	RIKEN cDNA 1700100I10 gene
1428232_at	6.46e-01	4.71e-02	Cpsf6	cleavage and polyadenylation specific factor 6
1429534_a_at	6.46e-01	-3.18e-02	Immt	inner membrane protein, mitochondrial
1459382_at	6.46e-01	-1.19e-01		
1457353_at	6.46e-01	-3.58e-01	Tomm70a	translocase of outer mitochondrial membrane 70 homolog A (yeast)
1420219_at	6.46e-01	2.34e-01	Dnajc21	DnaJ heat shock protein family (Hsp40) member C21
1422779_at	6.46e-01	1.53e-01	Smpd3	sphingomyelin phosphodiesterase 3, neutral
1432967_at	6.46e-01	-3.74e-01	4930456A14Rik	RIKEN cDNA 4930456A14 gene
1458940_at	6.46e-01	1.50e-01	5730507A11Rik	RIKEN cDNA 5730507A11 gene
1457950_at	6.46e-01	1.64e-01		
1450954_at	6.46e-01	3.88e-02	Yme1l1	YME1-like 1 (S. cerevisiae)
1433087_at	6.46e-01	3.88e-01	5330430C04Rik	RIKEN cDNA 5330430C04 gene
1452273_at	6.46e-01	8.90e-02	Fam83h	family with sequence similarity 83, member H
1424343_a_at	6.46e-01	5.08e-02	Eif1a	eukaryotic translation initiation factor 1A
